pmid,title,authors,pubdate,journal,pagerank_score,degree,betweenness_score,abstract
1798888,A new method for measuring daytime sleepiness: the Epworth sleepiness scale.,Johns MW,1991 Dec,Sleep,0.08789901930350752,11654,0.0005197425475166212,"1. Sleep. 1991 Dec;14(6):540-5. doi: 10.1093/sleep/14.6.540.

A new method for measuring daytime sleepiness: the Epworth sleepiness scale.

Johns MW(1).

Author information:
(1)Sleep Disorders Unit, Epworth Hospital, Melbourne, Victoria, Australia.

The development and use of a new scale, the Epworth sleepiness scale (ESS), is 
described. This is a simple, self-administered questionnaire which is shown to 
provide a measurement of the subject's general level of daytime sleepiness. One 
hundred and eighty adults answered the ESS, including 30 normal men and women as 
controls and 150 patients with a range of sleep disorders. They rated the 
chances that they would doze off or fall asleep when in eight different 
situations commonly encountered in daily life. Total ESS scores significantly 
distinguished normal subjects from patients in various diagnostic groups 
including obstructive sleep apnea syndrome, narcolepsy and idiopathic 
hypersomnia. ESS scores were significantly correlated with sleep latency 
measured during the multiple sleep latency test and during overnight 
polysomnography. In patients with obstructive sleep apnea syndrome ESS scores 
were significantly correlated with the respiratory disturbance index and the 
minimum SaO2 recorded overnight. ESS scores of patients who simply snored did 
not differ from controls.

DOI: 10.1093/sleep/14.6.540
PMID: 1798888 [Indexed for MEDLINE]"
81764,Excessive daytime sleepiness in man: multiple sleep latency measurement in narcoleptic and control subjects.,Richardson GS; Carskadon MA; Flagg W; Van den Hoed J; Dement WC; Mitler MM,1978 Nov,Electroencephalography and clinical neurophysiology,0.033150120608707805,404,0.0,"1. Electroencephalogr Clin Neurophysiol. 1978 Nov;45(5):621-7. doi: 
10.1016/0013-4694(78)90162-1.

Excessive daytime sleepiness in man: multiple sleep latency measurement in 
narcoleptic and control subjects.

Richardson GS, Carskadon MA, Flagg W, Van den Hoed J, Dement WC, Mitler MM.

Excessive daytime sleepiness is a complaint characterizing many disorders of the 
wakefulness--sleep cycle. This paper addresses the complaint of sleepiness 
objectively by an attempt to differentiate a group of control subjects from a 
group of patients with unambiguous narcolepsy. Fourteen control and 27 
narcoleptic subjects were evaluated by one of three protocols involving 
nocturnal recordings, detailed interviews, and 5 or more 20-min opportunities to 
sleep offered at 2-h intervals beginning at 10.00 o'clock, +/- 30 min. Each 
20-min opportunity to sleep was given to subjects lying in a darkened quiet room 
and asked to try to fall asleep. Polysomnographic variables were monitored and 
sleep was scored in 30-sec epochs by standard criteria. The interval from the 
start of each test to the first epoch of NREM (including stage 1 sleep) or REM 
sleep was called sleep latency. In two of the protocols, the subjects were 
awakened immediately after sleep onset. In the third protocol, the subjects were 
awakened after 10 min of sleep. Narcoleptics consistently fell asleep much more 
readily than did control subjects. We conclude that the Multiple Sleep latency 
test, in addition to providing opportunities to clinically document sleep onset 
REM sleep periods, can demonstrate pathological sleepiness. Based on these data, 
we suggest that an average sleep latency less than 5 min be set as the minimum 
cutoff point for pathological sleepiness.

DOI: 10.1016/0013-4694(78)90162-1
PMCID: PMC2391074
PMID: 81764 [Indexed for MEDLINE]"
3809866,Guidelines for the multiple sleep latency test (MSLT): a standard measure of sleepiness.,Carskadon MA; Dement WC; Mitler MM; Roth T; Westbrook PR; Keenan S,1986 Dec,Sleep,0.020472200112438527,1216,0.000174147548326001,"1. Sleep. 1986 Dec;9(4):519-24. doi: 10.1093/sleep/9.4.519.

Guidelines for the multiple sleep latency test (MSLT): a standard measure of 
sleepiness.

Carskadon MA, Dement WC, Mitler MM, Roth T, Westbrook PR, Keenan S.

DOI: 10.1093/sleep/9.4.519
PMID: 3809866 [Indexed for MEDLINE]"
4719486,Quantification of sleepiness: a new approach.,Hoddes E; Zarcone V; Smythe H; Phillips R; Dement WC,1973 Jul,Psychophysiology,0.013282606044839093,40,0.0,"1. Psychophysiology. 1973 Jul;10(4):431-6. doi:
10.1111/j.1469-8986.1973.tb00801.x.

Quantification of sleepiness: a new approach.

Hoddes E, Zarcone V, Smythe H, Phillips R, Dement WC.

DOI: 10.1111/j.1469-8986.1973.tb00801.x
PMID: 4719486 [Indexed for MEDLINE]"
7232969,Disorders of excessive daytime somnolence: polygraphic and clinical data for 100 patients.,van den Hoed J; Kraemer H; Guilleminault C; Zarcone VP Jr; Miles LE; Dement WC; Mitler MM,1981,Sleep,0.009505363000692794,132,0.0,"1. Sleep. 1981;4(1):23-37. doi: 10.1093/sleep/4.1.23.

Disorders of excessive daytime somnolence: polygraphic and clinical data for 100 
patients.

van den Hoed J, Kraemer H, Guilleminault C, Zarcone VP Jr, Miles LE, Dement WC, 
Mitler MM.

A consecutive series of 100 sleep apnea free patients with the complaint of 
excessive daytime somnolence (EDS) were evaluated; data from medical histories, 
physical examination, personality inventories, and polysomnography [nocturnal 
polysomnography (NPSG) and daytime multiple sleep latency testing (MSLT)] were 
tabulated. Significant differences were found between narcoleptic and 
non-narcoleptic patients in a number of parameters, including EDS severity, mean 
sleep latency on MSLT, sleep latency on NPSG, latency to REM sleep at night, 
number of REM sleep at night, number of REM sleep segments throughout the night, 
the total number of nocturnal myoclonic jerks (as well as the number occurring 
per hour of NREM and REM sleep), and the number of arousals and wake periods 
preceded by a myoclonic jerk. Significant differences in sleep latency during 
MSLT and NPSG testing were found between different EDS diagnostic groups of 
non-narcoleptic patients. The majority of patients in the MSLT group with long 
sleep latencies were in the diagnostic groups of EDS associated with 
psychophysiological and/or psychiatric problems or with drug abuse; patients 
with a diagnosis of idiopathic central nervous system hypersomnia or EDS 
associated with disturbed nocturnal sleep formed the majority of the MSLT group 
with short sleep latencies. The non-narcoleptic patients in a MSLT group with 
short sleep latencies had significantly shorter sleep latencies at night, more 
sleep cycles, higher sleep efficiency, and earlier REM sleep than patients with 
long sleep latencies.

DOI: 10.1093/sleep/4.1.23
PMID: 7232969 [Indexed for MEDLINE]"
188992,235 cases of excessive daytime sleepiness. Diagnosis and tentative classification.,Guilleminault C; Dement WC,1977 Jan-Feb,Journal of the neurological sciences,0.009222950179598751,5,0.0,"1. J Neurol Sci. 1977 Jan-Feb;31(1):13-27. doi: 10.1016/0022-510x(77)90003-x.

235 cases of excessive daytime sleepiness. Diagnosis and tentative 
classification.

Guilleminault C, Dement WC.

A series of 235 consecutive patients refferred to the Stanford University Sleep 
Disorders Clinic with the complaint of excessive daytime sleepiness (EDS) were 
investigated extensively. A satisfactory final diagnosis involving a consistent 
syndrome or pathogenic process was made in all but 7 patients. In the course of 
this work a variety of tests, including prolonged polygraphic monitoring of 
multiple variables and CSF measurements before and after probenecid ingestion, 
were utilized. Different syndromes were confirmed (harmonious hypersomnia, 
subwakefulness syndrome); the definitions of others were clarified and extended 
(narcolepsy, drug dependency, periodic hypersomnia associated with menstruation, 
upper airway sleep apnea in children). Two new entities were tentatively 
identified (narcolepsy with sleep apnea, the neutral state syndrome). Narcolepsy 
and upper airway sleep apnea accounted for the majority of the cases (199). A 
strategic schema utilizing specific categories and frequency of occurrence in 
the case series is presented to improve the diagnosis of the complaint of 
excessive daytime sleepiness by the practicing physician. This case series was 
analysed in order to develop tentatively a meaningful nosology.

DOI: 10.1016/0022-510x(77)90003-x
PMID: 188992 [Indexed for MEDLINE]"
11422885,"Proposed supplements and amendments to 'A Manual of Standardized Terminology, Techniques and Scoring System for Sleep Stages of Human Subjects', the Rechtschaffen & Kales (1968) standard.",Hori T; Sugita Y; Koga E; Shirakawa S; Inoue K; Uchida S; Kuwahara H; Kousaka M; Kobayashi T; Tsuji Y; Terashima M; Fukuda K; Fukuda N; Sleep Computing Committee of the Japanese Society of Sleep Research Society,2001 Jun,Psychiatry and clinical neurosciences,0.007779869436187125,22,0.0,"1. Psychiatry Clin Neurosci. 2001 Jun;55(3):305-10. doi: 
10.1046/j.1440-1819.2001.00810.x.

Proposed supplements and amendments to 'A Manual of Standardized Terminology, 
Techniques and Scoring System for Sleep Stages of Human Subjects', the 
Rechtschaffen & Kales (1968) standard.

Hori T(1), Sugita Y, Koga E, Shirakawa S, Inoue K, Uchida S, Kuwahara H, Kousaka 
M, Kobayashi T, Tsuji Y, Terashima M, Fukuda K, Fukuda N; Sleep Computing 
Committee of the Japanese Society of Sleep Research Society.

Author information:
(1)Department of Behavioral Sciences, Hiroshima University, Japan. 
tdhori@hiroshima-u.ac.jp

DOI: 10.1046/j.1440-1819.2001.00810.x
PMID: 11422885 [Indexed for MEDLINE]"
5387594,The pupillogram and narcolepsy. A method to measure decreased levels of wakefulness.,Yoss RE; Moyer NJ; Ogle KN,1969 Oct,Neurology,0.007439127240700414,6,0.0,"1. Neurology. 1969 Oct;19(10):921-8. doi: 10.1212/wnl.19.10.921.

The pupillogram and narcolepsy. A method to measure decreased levels of 
wakefulness.

Yoss RE, Moyer NJ, Ogle KN.

DOI: 10.1212/wnl.19.10.921
PMID: 5387594 [Indexed for MEDLINE]"
6177511,Maintenance of wakefulness test: a polysomnographic technique for evaluation treatment efficacy in patients with excessive somnolence.,Mitler MM; Gujavarty KS; Browman CP,1982 Jun,Electroencephalography and clinical neurophysiology,0.005887972557632882,372,0.0,"1. Electroencephalogr Clin Neurophysiol. 1982 Jun;53(6):658-61. doi: 
10.1016/0013-4694(82)90142-0.

Maintenance of wakefulness test: a polysomnographic technique for evaluation 
treatment efficacy in patients with excessive somnolence.

Mitler MM, Gujavarty KS, Browman CP.

Ten patients with narcolepsy were given five 20 min opportunities to remain 
awake throughout the day. Trials were offered at 2 h intervals beginning at 
10:00. Polysomnographic variables were monitored during each trial. Sleep 
latency increased when patients were instructed to maintain wakefulness compared 
to when instructed to sleep; however, sleep latencies were still lower for 
narcoleptics than for control subjects. Unexpectedly, we were not always able to 
document patients' reports of increased ability to stay awake. The findings 
suggested that clinical data on symptom control in narcolepsy do not predict 
ability to stay awake. Objective measures of the ability are potentially more 
useful in evaluating treatment.

DOI: 10.1016/0013-4694(82)90142-0
PMCID: PMC2480525
PMID: 6177511 [Indexed for MEDLINE]"
2184488,"Daytime sleepiness, performance, mood, nocturnal sleep: the effect of benzodiazepine and caffeine on their relationship.",Johnson LC; Spinweber CL; Gomez SA; Matteson LT,1990 Apr,Sleep,0.00579610776705173,76,0.00021184231531119494,"1. Sleep. 1990 Apr;13(2):121-35. doi: 10.1093/sleep/13.2.121.

Daytime sleepiness, performance, mood, nocturnal sleep: the effect of 
benzodiazepine and caffeine on their relationship.

Johnson LC(1), Spinweber CL, Gomez SA, Matteson LT.

Author information:
(1)Naval Health Research Center, San Diego, CA 92138-9174.

The present study was part of a larger 3-day, 2-night double-blind parallel 
group design in which 80 young adult men were divided into eight treatment 
groups to examine the effects of benzodiazepines and caffeine on nocturnal sleep 
and daytime sleepiness, performance, and mood. The present study was done to 
examine further the relationship among daytime sleepiness, performance, mood, 
and nocturnal sleep and to determine if and how these relationships were 
affected by the nighttime use of benzodiazepine and the ingestion of caffeine in 
the morning. Subjects received 15 or 30 mg of flurazepam, 0.25 or 0.50 mg of 
triazolam, or placebo at bedtime and 250 mg of caffeine or placebo in the 
morning for two treatment days. Two objective (Multiple Sleep Latency Test and 
lapses) and two subjective (Stanford Sleepiness Scale and Visual Analog Scale) 
measures of sleepiness, five performance tests, and two mood measures (Profile 
of Mood Scale and Visual Analog Scale) were administered repeatedly on both 
days. Electroencephalogram sleep was recorded on both nights. Objective sleep 
measures of daytime sleepiness were not significantly related to either 
performance or mood, but subjects with greater daytime sleepiness had 
significantly longer and more efficient nocturnal sleep. Neither benzodiazepine 
or caffeine influenced these relationships. In contrast, higher estimates of 
subjective sleepiness were significantly associated with poorer mood and tended 
to be related to poorer performance. Caffeine significantly reduced these 
relationships. Nocturnal sleep measures were not related to subjective estimates 
of daytime sleepiness.

DOI: 10.1093/sleep/13.2.121
PMID: 2184488 [Indexed for MEDLINE]"
