pmid,citation_count,relative_citation_ratio,field_citation_rate,year_icite
29771183,20,1.89,4.217879526805319,2020
29845680,17,1.07,4.509701701570113,2018
29885874,4,0.32,3.389727533836068,2018
29909138,15,0.95,4.4676084352020515,2018
30045272,1,0.04,7.010164948966297,2018
30075393,15,0.97,4.360725392948361,2018
30183203,0,0.0,0.42783505154639173,2018
30190179,69,4.48,4.34510988106533,2018
30214155,30,1.85,4.641468808752676,2018
30232458,222,8.84,7.743640305585094,2018
30286385,10,0.62,4.643904519164945,2018
30321823,24,1.19,6.033280317972483,2018
30332477,14,0.74,5.585900001962448,2018
30414814,4,0.29,3.805751625434264,2018
30476331,8,0.51,5.312175932190768,2019
30523329,185,10.56,5.09032192741877,2018
30526757,16,0.99,4.607715711013778,2018
30539345,22,1.52,4.795358743755945,2019
30540615,5,0.42,3.823872836085107,2019
30649557,16,1.14,4.620005151054407,2019
30679597,22,1.36,5.478526893764542,2019
30770204,2,0.12,5.848438076384397,2019
30778010,1,0.08,3.1686040010267527,2018
30803831,24,2.04,3.746514507043288,2019
30820852,6,0.42,4.727284272919767,2019
30913957,5,0.33,5.078222603021234,2019
31004158,44,3.07,4.739864687800916,2019
31062443,7,0.36,6.626974725480065,2019
31127382,9,0.65,4.551172448414538,2019
31154621,7,0.59,4.834522082187224,2020
31260261,12,0.71,5.702268813435108,2019
31280401,24,1.94,5.094344047909098,2020
31324898,356,20.3,5.987263535023155,2019
31326237,22,1.43,5.148003341168259,2019
31405906,34,2.46,4.542676423281559,2019
31606740,9,0.59,6.532197758627489,2020
31626225,0,0.0,0.26898326898326896,2019
31650824,2,0.14,4.874459071534786,2019
31718239,2,0.15,5.504839781056883,2020
31720864,11,0.9,3.9054651596712824,2019
31739861,0,0.0,2.641686182669789,2019
31841742,19,1.71,4.481868114148228,2020
31855165,11,0.92,3.8365867169753027,2019
31937147,13,1.87,3.496783991632875,2021
31957642,3,0.22,5.601523842272905,2020
31957646,2,0.14,6.212791318474644,2020
31961221,2,0.18,4.396030327423166,2020
31978866,13,1.06,5.013303750066439,2020
31993661,29,2.52,4.661995259073925,2020
31999982,5,0.43,4.706132988958534,2020
32022668,8,0.74,4.347913530574928,2020
32111133,10,0.92,4.340242178513739,2020
32197224,14,1.42,3.8796668930568163,2020
32253429,30,2.6,4.682931751397994,2020
32346835,22,1.89,4.732978367736134,2020
32393279,9,0.77,4.780219858538531,2020
32514698,25,2.21,4.573807069319378,2020
32554327,4,0.24,7.252260575138799,2020
32594755,0,0.0,1.9963503649635037,2020
32664104,1,0.09,4.2137233737396755,2020
32726523,3,0.3,3.99873390955066,2020
32761857,21,1.96,4.2904331067489085,2020
32858274,3,0.25,4.9427938388423875,2020
32858357,10,0.82,4.99930363612183,2020
32926731,5,0.28,7.590768867311499,2020
32933368,8,0.89,4.949182561998728,2021
32993765,5,0.4,5.100114013317829,2020
33035342,11,1.26,4.7277683477805486,2021
33045884,6,0.89,5.709432321817663,2022
33146124,9,1.1,4.361551036052718,2021
33166827,2,0.18,4.564651559947093,2020
33226331,4,0.39,5.883800095366982,2021
33238081,0,0.0,2.8115015974440896,2020
33289477,2,0.25,4.2594402199923636,2021
33339064,3,0.31,5.377260534435513,2021
33398860,1,0.07,5.999218663198796,2020
33539807,9,0.88,5.753107765736711,2021
33588261,19,2.42,4.136633515618932,2021
33594925,2,0.41,3.836706307228009,2022
33629215,1,0.15,3.3255116258627284,2021
33666167,18,1.97,5.0331463679184125,2021
33729911,9,1.21,3.8440439073949366,2021
33779983,24,2.6,5.09306742768567,2021
33813771,12,1.45,4.4179988886162365,2021
33849131,0,0.0,1.4356120826709062,2021
33873103,4,0.37,6.1881267433135525,2021
33929127,1,0.12,4.697559262676078,2021
33975822,6,1.01,4.898944689323613,2022
34021733,4,0.52,6.619636577527125,2022
34031309,5,0.48,5.953200984441786,2021
34052817,23,2.14,6.1366069984198885,2021
34158768,1,0.25,1.4753925405066524,2021
34170236,2,0.17,6.7773458625975165,2021
34265481,7,0.8,4.752980268323305,2021
34278566,11,1.52,3.7106266345554313,2021
34304148,19,2.07,5.05681245546302,2021
34605393,13,2.59,3.926346515018634,2022
34611886,9,1.66,4.343088408080142,2022
34852376,0,0.0,1.1528662420382165,2022
34894325,9,1.0,7.972132339310066,2022
34932852,4,0.58,5.81645049495963,2022
35022128,1,0.22,3.425080566727574,2022
35034758,54,8.75,5.107729398538209,2022
35038747,8,1.51,4.2036624764190815,2022
35040431,14,2.4,4.754063547363326,2022
35088707,7,1.49,3.5882345506680084,2022
35172921,18,3.28,4.404287396560119,2022
35184867,1,0.16,5.302028091103908,2022
35212159,10,1.63,5.067829392459626,2022
35332869,8,1.39,4.65951490744577,2022
35426627,7,0.84,7.319878152513055,2022
35445831,14,1.7,7.192477907363433,2022
35447401,5,0.82,5.017376122249884,2022
35465977,9,1.02,7.781460402587068,2022
35481446,2,0.25,6.936393470707634,2022
35512685,3,0.51,4.774816758533449,2022
35543223,4,0.73,4.4104773363057905,2022
35554594,17,2.86,4.87081068154827,2022
35624073,33,4.92,5.654921355680567,2022
35659118,13,2.87,3.4298053350570608,2022
35698456,1,0.23,3.2151913059427346,2022
35733336,6,0.75,6.951895644162519,2022
35855527,2,0.42,3.707056913137733,2022
35953127,7,1.04,5.656501848428209,2022
36001951,5,1.02,3.8129027036637284,2022
36427467,5,1.62,4.887215522537212,2023
36525847,1,0.32,4.984526288087281,2023
36564940,7,1.9,5.846752187228891,2023
36608412,9,3.16,4.515850413248759,2023
36708258,3,0.73,6.5232480981402166,2023
36870217,0,0.0,3.2300724637681157,2023
36947322,6,1.74,5.462459247794088,2023
36949713,0,0.0,0.28328611898017,2023
36979356,10,2.99,5.3124747034428,2023
37066739,0,0.0,3.020066889632107,2023
37069414,1,0.3,5.222715577119232,2023
37145499,1,0.34,4.6849077749855015,2023
37246794,0,,,2024
37348285,0,0.0,3.4899598393574296,2023
37392083,7,2.51,4.428770025159456,2023
37396177,2,0.58,5.5117781542554525,2023
37477028,0,0.0,0.6437768240343348,2023
37531449,2,,4.782103476136587,2024
37539640,4,1.06,5.99064358213384,2023
37544279,5,2.04,3.8893856660707,2023
37572055,1,,,2024
37585269,1,0.59,2.7098413945350974,2023
37590830,4,1.5,4.217531281979332,2023
37634997,16,4.54,5.593948692972927,2023
37672382,6,2.87,3.314255589198996,2023
37684104,2,0.84,3.7614168524051723,2023
37740167,0,0.0,3.0565055762081785,2023
37748251,1,0.31,5.183029048011956,2023
37984842,0,,,2024
38065636,1,0.64,2.469834597555836,2023
38123241,0,0.0,3.2358490566037736,2023
38165365,7,3.3,5.601125133947241,2024
38173730,1,0.26,6.101882907794136,2023
38183289,0,,,2024
38284414,2,,6.461204844611316,2024
38286043,2,,4.0642778467942495,2024
