pmid,citation_count,relative_citation_ratio,field_citation_rate,year_icite
14718696,87,2.4,4.003999259537402,2004
14726290,4,0.11,3.8110663897053163,2004
15157381,1,0.02,5.044757463833101,2004
15538594,16,0.47,3.8599608571571573,2005
15560774,122,3.29,4.171992031947532,2004
15592731,36,1.02,3.784354672048739,2004
15700727,670,20.09,3.7137593158133795,2005
15700728,198,5.96,3.684408987530067,2005
15726225,7,0.22,3.540430677055282,2005
15729517,76,2.1,4.288667614165154,2005
15823167,24,0.59,5.11956512755282,2005
15935192,8,0.17,6.67682639617692,2005
16098766,64,1.71,4.540934730489959,2005
16494086,53,1.53,4.232394187216621,2006
16597649,162,4.82,4.009203367452475,2006
16700320,50,1.43,4.29300722075831,2006
16740406,34,1.06,3.720401862181559,2006
16815745,9,0.26,4.148965904085768,2006
16815747,4,0.11,4.405489853255232,2006
16895255,79,2.26,4.282404648574276,2006
17162989,43,1.22,4.349621277477564,2006
17187965,26,0.76,4.335880978829924,2007
17221004,2,0.06,3.6255253630538453,2006
17239659,22,0.63,4.549461489804349,2007
17386240,16,0.5,3.796659635555976,2007
17489947,8,0.25,3.933305051684988,2007
17550733,3,0.1,3.5067250666512035,2007
17557484,5,0.13,4.872743799655502,2006
17569582,77,2.39,3.8999586663214623,2007
17665008,6,0.14,5.985052460128026,2007
17682655,11,0.34,3.8471006068419746,2007
17694722,197,5.87,4.203909930944621,2007
17716283,70,2.13,4.045629954129954,2007
17993043,23,0.78,3.3248954389890386,2007
18175082,11,0.33,4.1616654265052615,2007
18436380,11,0.3,5.272273786252102,2008
18677186,13,0.44,3.720266828266254,2008
19211594,73,2.53,3.902263743579298,2009
19211597,125,4.25,4.015663960249,2009
19410508,33,1.03,4.566578056055351,2009
19423388,36,1.17,4.281415308262582,2009
19464232,57,1.99,3.853005142875772,2009
19689169,25,0.78,4.56121230270142,2009
19968047,50,1.77,3.7890397639019455,2009
20038925,4,0.14,3.89438616875719,2009
20069207,21,0.72,3.974310565220801,2009
20337903,29,1.06,4.337765800917086,2011
20642748,26,0.87,4.9458723904357695,2011
20671626,47,1.58,4.301032371435751,2010
20705253,7,0.26,3.7383961316464096,2010
20810311,11,0.35,4.742303575369594,2010
20880101,9,0.29,5.185036772860351,2011
20927145,0,0.0,,2010
21049180,8,0.27,4.355594660297306,2010
21050810,34,1.19,4.605831440966287,2011
21102987,143,4.59,4.613440485260542,2010
21173745,30,1.02,4.215672427128473,2010
21203380,45,1.44,5.284673230010708,2011
21345702,25,0.92,4.2773716584588835,2011
21387813,0,0.0,,2010
21532956,39,1.34,4.749800892708227,2011
21658163,9,0.36,3.765378502048925,2011
21723190,35,1.3,4.691537487559209,2012
21811133,10,0.39,3.942775260569832,2011
22036600,14,0.42,5.714613382769711,2011
22055895,89,3.47,4.375284615184112,2012
22171212,1,0.05,2.2428871729020003,2011
22177342,34,1.03,6.3341234102639685,2012
22406785,6,0.25,3.8492439127421774,2012
22426681,4,0.16,4.12635169068349,2012
22558075,49,1.81,4.737800641343362,2012
22716477,81,3.41,4.327793338370299,2013
22768053,76,2.77,4.850699466350176,2012
22942503,140,5.07,4.890869588886463,2012
23085931,43,1.78,4.419487082497073,2013
23312376,14,0.63,3.9007504993361093,2013
23649748,118,4.73,4.663497827318879,2013
23678276,3,0.12,4.550818356060518,2013
23764105,32,1.33,4.431638018393696,2013
23772196,14,0.61,4.144315000535958,2013
23773727,125,4.38,5.681044964111617,2013
23946709,138,5.47,4.735235761274925,2013
23946711,74,3.36,3.840273062884172,2013
24268496,50,2.12,4.700953408166484,2014
24330987,1,0.05,3.865735629944977,2013
24426826,32,1.4,4.485322754255537,2014
24468101,35,1.34,5.4307971777366575,2014
24656461,11,0.49,4.379484456256467,2014
24709307,5,0.19,5.5320958036143475,2014
24735736,10,0.43,4.628747748603453,2014
24830461,20,0.79,5.231240448647363,2014
24882894,15,0.64,4.700749880520978,2014
24882899,95,4.19,4.443104614487525,2014
24931392,13,0.59,4.791513458527715,2015
25087195,29,1.27,4.481118068564061,2014
25325489,31,1.45,4.548471757506937,2015
25348245,15,0.82,3.62283496868378,2015
25377356,8,0.38,3.918360240050506,2014
25554349,17,0.74,5.016042709074346,2015
25845690,77,3.62,4.515742131712978,2015
25979093,26,1.18,4.7420185250771505,2015
26026626,10,0.44,4.9147716302720275,2015
26039966,15,0.73,4.286297844351874,2015
26065128,1,0.06,3.188905177585144,2015
26126836,2,0.13,3.200670390322883,2016
26158891,26,1.14,5.001151206434945,2015
26241245,6,0.29,4.386870113365696,2015
26299470,42,1.87,4.884189477637596,2015
26323648,4,0.19,5.05089918852024,2016
26541241,8,0.42,4.4527246092567,2016
26599679,73,3.65,4.696746699133693,2016
26758112,2,0.08,5.748940659865723,2015
26864219,14,0.68,4.883160276272728,2016
27120092,2,0.07,8.212524702056076,2016
27339629,17,0.93,4.123500328684869,2016
27663355,34,1.64,4.951440958886625,2016
27855741,2,0.09,5.63128755812886,2017
28366327,2,0.13,3.857718120841111,2017
28471950,2,0.13,3.704999954303929,2017
28522102,12,0.45,7.367345930474874,2017
28675258,5,0.28,4.430779711019802,2017
28691719,9,0.49,4.634904764418431,2017
28802388,4,0.23,4.366184342297769,2017
28956242,13,0.72,4.514780921747495,2017
29069490,26,1.51,4.272877582332458,2017
29099966,84,4.65,4.551740119211161,2017
29117886,4,0.25,3.929766056857657,2017
29149785,4,0.24,4.068670145277058,2017
29198301,70,4.39,4.541387251903249,2018
29351827,25,1.51,4.756588684160063,2018
30416121,1,0.12,1.9621456752185875,2018
30508781,18,1.32,4.466805357044687,2019
30523556,6,0.52,3.7005189874769595,2019
30579702,29,1.64,7.62687080928974,2020
30649557,16,1.14,4.620005151054407,2019
30778010,1,0.08,3.1686040010267527,2018
30803831,24,2.04,3.746514507043288,2019
31004158,44,3.07,4.739864687800916,2019
31154621,7,0.59,4.834522082187224,2020
31277864,28,2.02,4.575602111469094,2019
31405906,34,2.46,4.542676423281559,2019
31706191,16,1.59,3.9689015139365806,2020
31999982,5,0.43,4.706132988958534,2020
32055854,3,0.26,4.7798276257195695,2020
32058230,16,1.36,4.80507441898907,2020
32346835,22,1.89,4.732978367736134,2020
32406372,7,0.7,3.977453495471266,2020
32412602,11,0.76,6.108049675768491,2020
32492554,6,0.42,5.9641109832386165,2020
32780009,8,0.72,4.507054826406905,2020
32858357,10,0.82,4.99930363612183,2020
32989797,15,1.66,4.964239066501011,2021
33045884,6,0.89,5.709432321817663,2022
33146124,9,1.1,4.361551036052718,2021
33175978,6,0.64,5.180349496468687,2021
33453460,20,2.78,3.673520878574111,2021
33588261,19,2.42,4.136633515618932,2021
33710305,6,0.6,5.574529079295595,2021
33849131,0,0.0,1.4356120826709062,2021
33873103,4,0.37,6.1881267433135525,2021
34021733,4,0.52,6.619636577527125,2022
34820763,4,0.65,5.125681434790616,2022
35180477,3,0.55,4.3451795214066635,2022
35447401,5,0.82,5.017376122249884,2022
35554594,17,2.86,4.87081068154827,2022
35717731,4,0.8,3.914380587298602,2022
36001951,5,1.02,3.8129027036637284,2022
36043439,2,0.62,5.10286167230842,2023
36222741,9,2.9,4.929403610429853,2023
36253180,2,0.65,4.864685872168136,2023
36305577,3,0.81,5.857449651027645,2023
36401198,3,0.36,7.366299321880842,2022
36535226,10,2.99,5.304718540609523,2023
36592569,4,1.8,3.5279298123255627,2023
36799460,2,0.58,5.4323584136678855,2023
36870217,0,0.0,3.2300724637681157,2023
36949713,0,0.0,0.28328611898017,2023
37046113,3,1.13,4.19495147821755,2023
37120161,3,0.8,5.9211164011311554,2023
37209427,7,1.81,6.136426419174147,2023
37348285,0,0.0,3.4899598393574296,2023
37392083,7,2.51,4.428770025159456,2023
37499464,3,1.1,4.3258182313782445,2023
37544279,5,2.04,3.8893856660707,2023
