pmid,citation_count,relative_citation_ratio,field_citation_rate,year_icite
2983f65e7519ca64b0cc4a98a88111d22b126bd2,98.0,0,0,2024.0
9eb6da3bff35a8e235fc3c16499b6b7836d6304f,26.0,0,0,2024.0
e62e7b163bb09f223badd6b31ff60082d3fd2ebb,39.0,0,0,2021.0
1df0f4487d48a96d6b1707aa4a90510f5998d5ee,14.0,0,0,2024.0
68106f815739c305a6375c9d593a1aac586ee9ed,9.0,0,0,2024.0
54111ce223b270a48ceb58b9a5d34d3ee7a92a9e,57.0,0,0,2023.0
86f260abb52cea53b4dbf3f5c2a5669450983374,30.0,0,0,2023.0
4071382871de773c59d4f89555679a027294b913,2.0,0,0,2024.0
4add06e705ea1e6d3179eca1fde473441916c6b2,19.0,0,0,2023.0
9df18b8592222749b6c5f6606fd35bd18bc49365,11.0,0,0,2023.0
5b7f5488c380cf5085a5dd93e993ad293b225eee,420.0,0,0,2023.0
bbae866c5edd477c1c39921436c47fd43d1f6e5c,365.0,0,0,2020.0
2ec453ed28d551cd39fb23b81679b36edb56e77c,0.0,0,0,
885b456241ff9dbb8ed120d7490c8ec8d29f5253,10.0,0,0,2023.0
83bc34cf87d07f53b803c878b0e0f78fe6326de1,9.0,0,0,2023.0
de72c6226ecbc7150dc3e634ca983d001808e6b0,3.0,0,0,2023.0
3dffaae62c37f2ed916b9fb0bbd981ac172907ad,6.0,0,0,2023.0
3b421dcebe21bf45c1930b948cfda7ec95b55ac4,1293.0,0,0,2016.0
d61f58df7495c7243252dd1aa43dbf8bf58c9500,378.0,0,0,2020.0
e91f8469e7f53dc678ece25a1b37ffe3560ab1fe,0.0,0,0,
2deafb11372f085d504db87fd626e478d8e965aa,778.0,0,0,2019.0
ce272b128e1fdba4340a519ee93a9fd8c8b7d35b,32.0,0,0,2022.0
de864055d8db49792245e469ee721b9307adfd46,30.0,0,0,2022.0
6664110bc4fee7c79dd1928d2a37dd9222295260,19.0,0,0,2024.0
884024110a3ae7050bbf3bde9d737e1fc120eed6,29.0,0,0,2022.0
ebf35e312cd994bcc6654b2a5afae43ac64f5ef4,23.0,0,0,2022.0
a1cc692648be36ce7bc50b91fb35bad9fb651f1c,21.0,0,0,2022.0
8c2c187ce71681efff72aaeed9b41044b088eb91,13.0,0,0,2022.0
fb25011c564139e37e6b912edfff8d61a04893f4,21.0,0,0,2022.0
637ba1bea58dffd918b1ef21c37c9971ef7a5d2f,18.0,0,0,2022.0
beb644ec577824801003e207cd2e76b0e5ffdf65,18.0,0,0,2022.0
75a3ac188544beda58338962ce3680fc7587ee93,15.0,0,0,2022.0
be818bd3db1928dcfe24f23ee7afaa09545f9a61,117.0,0,0,2021.0
ea642fd5aa2a097c249d47ab8687687b42bee6f8,9.0,0,0,2022.0
f2260a53350a5166f757979f435a3c477dec6d3e,9.0,0,0,2022.0
3f46af011b4a7c23042d0ec9d18246db574577ef,18.0,0,0,2022.0
8991f2c72b0a8d5af83f1f3c03e49514d0b20eee,109.0,0,0,2021.0
823d5cd208e8594397e004e4cf3e20c65b33268a,7.0,0,0,2022.0
2eabae48fec24607cc79c4a2a9026b23dc9fe0fe,6.0,0,0,2022.0
551d1f9b0167c19a2f5ade1e5dfedc2f7e7827c5,4.0,0,0,2022.0
894bc907529930e4622ec38ddec431f9c092d944,2.0,0,0,2022.0
32edb525204f5821af5da38b89f66909e9a045a5,124.0,0,0,2020.0
c91f9189f2bf73864aee37c1c4ba0f3ae7442901,43.0,0,0,2021.0
d8abb8206b913d185b4bd406880131c13759a6ff,428.0,0,0,2018.0
aed810458777075d3e7a0d9dd43500cb03a14bbb,24.0,0,0,2021.0
b539183ab4837cede4ff91180bbce0bc56a2a635,16.0,0,0,2021.0
1de2db9bacf1658219ee50ff173bd436ddd5a967,13.0,0,0,2021.0
b74708049c5ab77520720708c486e496fb11d40a,14.0,0,0,2021.0
96f11e6740cccf2e4966f8111d7b2019a6c13a31,0.0,0,0,
57e1a9508f0e0d428b4dfd49d911fae14494778e,13.0,0,0,2021.0
77fc3dba4974a71c38adef8bd24df6628421b710,13.0,0,0,2021.0
e6bd772b9875a02d8db8f9cf57ae9eaa1dee3be9,55.0,0,0,2021.0
8074ad358f901bf86a39629d481ffe25a0db1bb0,12.0,0,0,2021.0
94556523a94a17415a4abf096327336043577527,55.0,0,0,2023.0
2edb9b6ee30af0ec34d0807fc9689c99a69e92f8,16.0,0,0,2021.0
ba0a5f3243a249b2373888b41204ed76e5e5e30d,10.0,0,0,2021.0
fcbba7b10c8c5167fe48ff6bf19e4e25948b4f40,25.0,0,0,2020.0
252e26287e1e1880ed4b8e131829b6fdf79c6d95,20.0,0,0,2020.0
e139fde54f7c75ae674e32b2e1982c4a3713c200,28.0,0,0,2020.0
1a22c4fcff260a8623a1fd677f2e7a7916343dae,248.0,0,0,2018.0
b2bee34a21ca2088512911a64878cf4a8015be9e,7.0,0,0,2021.0
f2987690aa91a946c299685c076211701a6164ef,18.0,0,0,2020.0
1ba63a5c94b42fcf7320e8ef2cc52cc14752dab6,4.0,0,0,2021.0
6f7d0f6d3ddce587b2e98649c09b8b282eb61fee,17.0,0,0,2020.0
2163a4466ea46f4e76a3f4063e43ebd5676e3535,16.0,0,0,2020.0
d92105bc0c43ddc0a23be984955d59942dfd7445,19.0,0,0,2021.0
8380763dcb593c71890fe94ca2d7e5a223865e71,37.0,0,0,2023.0
19c78592bc557b65923ad83e7af26d478721e90f,108.0,0,0,2019.0
32af955ecf9e37cd06efd2a88d9617dbcae47a6d,12.0,0,0,2020.0
3cd76adc19c397236317aaa3b8d5baa0b8b51565,22.0,0,0,2020.0
704ff2750d39337cd5ce827b03988ca43d96012f,18.0,0,0,2020.0
32f215640451bb0a06ac97e04c8f89f3dbeb5e15,174.0,0,0,2018.0
c2e57a1926217f67a72c617d09fa12ec8e667d0e,23.0,0,0,2023.0
a3a10c635f9b770c19b82f11548c2d80d8766c65,70.0,0,0,2019.0
0504b7cc39d2e601a5eaec344c2c188544294d43,0.0,0,0,
ed6507de7e868ea40a9b819983600608a08bbc93,0.0,0,0,
980c1b7c06498645ce945b91ba1e5850e7f5d752,122.0,0,0,2018.0
71e324ebf456465e9d9536ac97e287809c0df023,37.0,0,0,2020.0
c293e24548c22efbb1b856d7c4f53242300df88e,47.0,0,0,2017.0
e630aff7babe67c2afbf8de9001f89c93e9e8add,0.0,0,0,
829ea8526739462227a4d7b881af57a5850b2756,64.0,0,0,2018.0
43b06764f687b52f1706905218aea14faef59b06,32.0,0,0,2019.0
c548835ab4e9418906a4f1f09d2d9514e25cece3,28.0,0,0,2019.0
839c00e4ddcc769c19f34e0e99701b97a3e2e882,27.0,0,0,2019.0
3c5403db27c108a54518bf0c5ad63fd6e781032a,187.0,0,0,2017.0
05a6ba005f3112e8644fe07d4babb923a0122f9d,21.0,0,0,2019.0
d5c5144d1fbdfd5aac465d5762df1ac509132ca1,0.0,0,0,
21e82350472bf6a12af0f761b8dea91cb16bf42f,29.0,0,0,2018.0
77185d1b04af6bc55863823364244746ed521833,118.0,0,0,2019.0
5fb93db7f732720c8f0183486fb3b6e53cf94ca1,237.0,0,0,2016.0
5e2061f1aaa941ddc55d31bf05d15b3ef539c98b,10.0,0,0,2020.0
e9dcd9b4a3ec96185757cc882d687553cbfa03cf,10.0,0,0,2023.0
e1a2f67b81515fa06699e84e42be2ff519d37267,11.0,0,0,2023.0
44202c42e2387c61acd1261d7a750d3f520ca0c7,164.0,0,0,2016.0
5880c91fd951f968cc00776edd630104abe43dc5,33.0,0,0,2019.0
15bfe54223d28c74f9e39960f7ff1d03167e285f,7.0,0,0,2023.0
f6385d28981ea0560403c92ce8c37517450ee908,0.0,0,0,
f8494301370ba5a13c0bb013fe3e92e3d24d5c15,20.0,0,0,2018.0
a17fa87dc3eeebff1da725f60ef8a1608eb7986d,113.0,0,0,2016.0
45e795ef4736bf2a90b9037d22c40320d478953c,5.0,0,0,2023.0
474f43a18e8266bdfc4c99844f69f23a22f47f62,12.0,0,0,2019.0
9e578715349f9df0826ff44688af7ae116d15d02,9.0,0,0,2019.0
2051548f7681c96d603de932ee23406c525276f9,922.0,0,0,2020.0
0d5e279f6b260042a22e596084304098ce5658c8,30.0,0,0,2019.0
b5ce829b4e1b31682dc90f87eae47770ddc70718,65.0,0,0,2016.0
1e42d5f75e10fe06f28adf6db5aae5086b728d52,8.0,0,0,2019.0
57707d683e35b2d42ec59e71709196eb664ff9bd,0.0,0,0,
cb9701d44961ea85253a4d39b74caca9d02f3430,7.0,0,0,2019.0
7d43f20678c66e5977b2518a94aa62e1c29e2b02,2.0,0,0,2019.0
2f88a2dea546dfde169607c4a24def6a64ed3d04,3.0,0,0,2019.0
be9892e207007d5f4c3e23133ea03daef64b87b0,445.0,0,0,2015.0
33a70e1a42bb7903398b715b68064fd48fabfd66,0.0,0,0,
3665bec103533566d7580441227f35a000c9b5ff,12.0,0,0,2018.0
d5cf655f29cf5b16f86958a1473e99dc9e2f8e4d,0.0,0,0,
6f66ba8b25b93dee2340e8db196f126e124f5fe5,25.0,0,0,2017.0
daf6581ab8c60455f353b40496f59bbfe17faab6,19.0,0,0,2017.0
