pmid,citation_count,relative_citation_ratio,field_citation_rate,year_icite
5812f2f545ea7a3046f951975932befae16be9dc,0.0,0,0,
fe0dd6bce6afe3e3f9842bf2f17742d44b64fab4,0.0,0,0,2024.0
95a8e1ba80e5ede7ae959b32b562be84bce45725,0.0,0,0,
ea7efe05a3add11b9db1e4c3b7aef932a19efcbd,22.0,0,0,2014.0
9cd8edb72c4cc48ec824e3f9369d0dc962e6f9c1,11.0,0,0,2022.0
82c796924524f8d7c81e2b018c2e0e6ab4bb427b,0.0,0,0,
e9aa5394f01bd93a96b9676beff12f9ae2b86709,0.0,0,0,
6a82e83f81d051e1daef9fb942c4e3fc1098758c,14.0,0,0,2019.0
22cb1ae8be05fae52b7dbb2ea3a429ce6f04739d,0.0,0,0,
4ba4b2964b9785da6f8745ac1a40f945b175e32c,0.0,0,0,2025.0
ac1829132df2c781105a1f6d7791a47e1cdb9fc2,7.0,0,0,2002.0
5b57ae3f17098375a229fb0c4c57d2d9861c4d63,0.0,0,0,2023.0
9b8d9b8a5d40983291d2299d332408d625d771bb,17.0,0,0,2015.0
03cb22c243041a036be927b0c25aeaef5475a359,0.0,0,0,
b632140a67a373b3515e01e1f4183fce803869cc,11.0,0,0,2013.0
0a8519b07c4499d61a83368672d58abca6c0eefd,0.0,0,0,
cd911216fabdd13e98b6f7251ae9229813838ecb,20.0,0,0,2022.0
c9c73ed281e3db13a787c6217c292bb3ec72d1f7,1.0,0,0,2020.0
41add03ba18a3b913ba6a2cb4877728f1d114bf3,1.0,0,0,2022.0
2255aff0438e9ed68c059b08ac72afc0098ebc1e,0.0,0,0,
001a15b6b0988322f476d57abaab3300e296245a,0.0,0,0,
1939e7e2b15fff058f4b9000953391b86b95a391,1.0,0,0,2024.0
8c1cd9c4172e807f83ad24ee2cf5814b6c29817d,0.0,0,0,2018.0
a03b4b00566bdf6f2b8a109564de29c8f3000f2a,0.0,0,0,
387e68ea92a246d37a25af200e47daffae85162f,45.0,0,0,2015.0
fc5eb2f857ec4f462e94469557e4ea065bcb6c5c,3.0,0,0,2022.0
0eeb1aedd7dde178559404e3c29c37a637471eba,4.0,0,0,2020.0
45ff6040b3b0948a7bfcfd42dc3c14770d789edc,100.0,0,0,2006.0
8dd273fc4770ba42797ec1bc5da5ae6f1cabb471,0.0,0,0,
3426c061daf49db65f445ec1d0f45384b98aa130,0.0,0,0,
bd7baa4167ab7ffacd019ade5c4a4105850239fa,3.0,0,0,2016.0
8fab14df5f70f51f1f55a7d0b02d489f9edadd83,0.0,0,0,2002.0
f1996da7a82211b79fb7237dfd29693a12f06830,2.0,0,0,2009.0
433e687a02b28b1d3132f21bb3acb1793352d9ee,0.0,0,0,
6e9969f1d9c91dcb8cd91c539fea8be86af9f3f8,0.0,0,0,1998.0
